hex_id10_1m,hex_id11_1m,hex_id12_1m,hex_id6_1m,hex_id7_1m,hex_id8_1m,hex_id9_1m,client_id
98424,,,,,,,,53131
33345,,,,,,,,148709
37066,,,,,,,,18935
1334,,,,,,,,174811
7137,,,,,,,,130091
149458,,,,,,,,148949
123039,,,,,,,,33291
156928,,,,,,,,82074
27896,,,,,,,,50741
5973,,,,,,,,103171
146174,,,,,,,,200960
92965,,,,,,,,129365
121509,,,,,,,,75655
50731,,,,,,,,167690
113701,,,,,,,,72142
103727,,,,,,,,81018
88948,,,,,,,,65219
2228,,,,,,,,49864
147231,,,,,,,,86556
142722,,,,,,,,194228
7235,,,,,,,,33692
61426,,,,,,,,132294
26177,,,,,,,,17931
19159,,,,,,,,78880
19713,,,,,,,,36865
146527,,,,,,,,79749
138911,,,,,,,,39301
81162,,,,,,,,79002
17601,,,,,,,,174919
35061,,,,,,,,120927
130114,,,,,,,,37441
16692,,,,,,,,84695
58221,,,,,,,,48936
3700,,,,,,,,40537
28171,,,,,,,,68743
28955,,,,,,,,20354
39452,,,,,,,,79844
105143,,,,,,,,64144
29847,,,,,,,,99942
6610,,,,,,,,193189
15845,,,,,,,,62341
159246,,,,,,,,160838
103003,,,,,,,,96965
129071,,,,,,,,59406
90480,,,,,,,,125776
153608,,,,,,,,110999
15642,,,,,,,,192682
117367,,,,,,,,39867
29888,,,,,,,,87070
98198,,,,,,,,189969
134847,,,,,,,,26655
26557,,,,,,,,65942
144695,,,,,,,,157486
31909,,,,,,,,122934
123818,,,,,,,,24480
100883,,,,,,,,183438
114274,,,,,,,,60318
121541,,,,,,,,43572
135267,,,,,,,,40651
133222,,,,,,,,192049
14803,,,,,,,,58251
10743,,,,,,,,41252
112247,,,,,,,,143268
76691,,,,,,,,22016
31122,,,,,,,,109936
125394,,,,,,,,176848
54124,,,,,,,,192031
122051,,,,,,,,185202
84881,,,,,,,,22029
59733,,,,,,,,138301
72436,,,,,,,,49746
99124,,,,,,,,143979
69121,,,,,,,,163940
21895,,,,,,,,34756
150024,,,,,,,,12164
145220,,,,,,,,59641
148903,,,,,,,,133329
33785,,,,,,,,176983
99495,,,,,,,,77811
136628,,,,,,,,199434
47195,,,,,,,,80623
11439,,,,,,,,62972
86608,,,,,,,,167183
146758,,,,,,,,97654
52423,,,,,,,,4212
96069,,,,,,,,49318
75356,,,,,,,,76730
83236,,,,,,,,128389
48073,,,,,,,,2352
84612,,,,,,,,13531
79550,,,,,,,,19838
132202,,,,,,,,159013
145151,,,,,,,,105929
160053,,,,,,,,197591
121767,,,,,,,,47652
126436,,,,,,,,31179
130062,,,,,,,,122259
106192,,,,,,,,83942
132302,,,,,,,,48095
96956,,,,,,,,95999
51560,,,,,,,,48266
110939,,,,,,,,10533
132140,,,,,,,,42867
135452,,,,,,,,13726
142654,,,,,,,,176241
9823,,,,,,,,120723
118382,,,,,,,,59434
34321,,,,,,,,164289
112164,,,,,,,,177258
14956,,,,,,,,137508
115858,,,,,,,,36960
41346,,,,,,,,11622
71988,,,,,,,,128480
139969,,,,,,,,140108
49565,,,,,,,,167320
13002,,,,,,,,52362
40601,,,,,,,,88396
74464,,,,,,,,140791
71231,,,,,,,,148011
118129,,,,,,,,47428
45653,,,,,,,,168255
54879,,,,,,,,130487
88092,,,,,,,,145307
13022,,,,,,,,28562
73533,,,,,,,,10613
54450,,,,,,,,55289
45326,,,,,,,,99665
154092,,,,,,,,3466
19095,,,,,,,,56193
108034,,,,,,,,85773
