mac_cnt_1m,mac_cnt_2m,mac_cnt_3m,mac_cnt_d1m,mac_cnt_d2m,mac_cnt_d3m,mac_cnt_p1m,mac_cnt_p2m,mac_cnt_p3m,client_id
99919,2.0,3.0,4.0,1.0,0.5,0.3333333333333333,1.0,2.0,3.0,127844
133811,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,55533
92437,,,,0.0,0.0,0.0,,,,30782
105519,,,,0.0,0.0,0.0,,,,86809
64182,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,189957
150286,1.0,2.0,3.0,0.0,0.0,0.5,1.0,2.0,2.0,97175
71729,,,,0.0,0.0,0.0,,,,71204
24172,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,131540
34104,,,,0.0,0.0,0.0,,,,165341
137999,,,,0.0,0.0,0.0,,,,158291
37996,3.0,6.0,9.0,0.0,0.0,0.0,3.0,6.0,9.0,168968
91478,,,,0.0,0.0,0.0,,,,49182
115612,,,,0.0,0.0,0.0,,,,113782
133001,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,97660
139019,,,,0.0,0.0,0.0,,,,134824
58742,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,54909
68322,1.0,2.0,3.0,0.0,0.0,-0.25,1.0,2.0,4.0,3262
155916,,,,0.0,0.0,0.0,,,,145661
69243,1.0,3.0,5.0,-0.5,0.0,0.6666666666666667,2.0,3.0,3.0,38281
61780,3.0,7.0,10.0,-0.25,0.1666666666666667,0.1111111111111111,4.0,6.0,9.0,143791
18350,,,,0.0,0.0,0.0,,,,21361
116163,,,,0.0,0.0,0.0,,,,20407
158919,2.0,5.0,7.0,-0.3333333333333333,0.25,0.1666666666666667,3.0,4.0,6.0,13393
82470,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,183161
33297,,,,0.0,0.0,0.0,,,,192737
151602,,,,0.0,0.0,0.0,,,,21514
67595,,,,0.0,0.0,0.0,,,,51134
24976,,,,0.0,0.0,0.0,,,,19405
159935,,,,0.0,0.0,0.0,,,,139003
110620,,,,0.0,0.0,0.0,,,,48525
45731,,,,0.0,0.0,0.0,,,,77542
56009,,,,0.0,0.0,0.0,,,,100878
46972,,,,0.0,0.0,0.0,,,,129303
24604,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,86439
114601,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,120784
114268,,,,0.0,0.0,0.0,,,,92394
65373,,,,0.0,0.0,0.0,,,,113802
9833,,,,0.0,0.0,0.0,,,,18318
17470,,,,0.0,0.0,0.0,,,,58250
81689,,,,0.0,0.0,0.0,,,,195202
105951,,,,0.0,0.0,0.0,,,,63128
111705,,,,0.0,0.0,0.0,,,,94648
32305,,,,0.0,0.0,0.0,,,,102625
125578,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,105143
150962,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,117897
78509,,,,0.0,0.0,0.0,,,,60948
100983,,,,0.0,0.0,0.0,,,,168945
144267,,,,0.0,0.0,0.0,,,,86107
123653,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,109533
31584,,,,0.0,0.0,0.0,,,,39307
14124,,,,0.0,0.0,0.0,,,,116227
125235,,,,0.0,0.0,0.0,,,,163481
60138,,,,0.0,0.0,0.0,,,,114561
151916,,,,0.0,0.0,0.0,,,,112564
61364,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,38660
50032,,,,0.0,0.0,0.0,,,,41884
142605,,,,0.0,0.0,0.0,,,,138306
104106,,,,0.0,0.0,0.0,,,,142492
95794,,,,0.0,0.0,0.0,,,,5914
31309,,,,0.0,0.0,0.0,,,,15335
64418,,,,0.0,0.0,0.0,,,,182527
49914,,,,0.0,0.0,0.0,,,,115433
17979,,,,0.0,0.0,0.0,,,,109960
157874,,,,0.0,0.0,0.0,,,,111706
89270,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,156272
46127,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,86679
106091,,,,0.0,0.0,0.0,,,,6767
32314,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,105357
25584,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,8946
45857,,,,0.0,0.0,0.0,,,,170881
53913,,,,0.0,0.0,0.0,,,,193147
22891,,,,0.0,0.0,0.0,,,,120502
112720,,,,0.0,0.0,0.0,,,,8747
86155,,,,0.0,0.0,0.0,,,,144423
43545,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,64665
103740,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,183466
77607,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,56296
110272,,,,0.0,0.0,0.0,,,,126739
94089,,,,0.0,0.0,0.0,,,,32651
115660,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,79286
123917,,,,0.0,0.0,0.0,,,,200313
24219,,,,0.0,0.0,0.0,,,,114501
98659,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,102199
23169,,,,0.0,0.0,0.0,,,,115538
144204,2.0,6.0,8.0,-0.5,0.5,0.3333333333333333,4.0,4.0,6.0,2990
61933,,,,0.0,0.0,0.0,,,,11449
59518,,,,0.0,0.0,0.0,,,,25486
23190,,,,0.0,0.0,0.0,,,,115088
17768,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,177116
119014,,,,0.0,0.0,0.0,,,,95737
113374,,,,0.0,0.0,0.0,,,,168833
139617,,,,0.0,0.0,0.0,,,,2358
120472,,,,0.0,0.0,0.0,,,,101260
106079,,,,0.0,0.0,0.0,,,,58385
101933,,,,0.0,0.0,0.0,,,,192362
22912,,,,0.0,0.0,0.0,,,,70307
49893,,,,0.0,0.0,0.0,,,,13680
105009,,,,0.0,0.0,0.0,,,,169053
92161,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,194951
91376,,,,0.0,0.0,0.0,,,,62323
131390,,,,0.0,0.0,0.0,,,,131026
79875,,,,0.0,0.0,0.0,,,,16109
96021,,,,0.0,0.0,0.0,,,,19797
101074,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,58776
144246,1.0,3.0,5.0,-0.5,-0.25,-0.1666666666666666,2.0,4.0,6.0,40549
139308,,,,0.0,0.0,0.0,,,,34448
31504,,,,0.0,0.0,0.0,,,,49806
55050,,,,0.0,0.0,0.0,,,,111131
157466,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,183804
90875,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,126996
17752,,,,0.0,0.0,0.0,,,,24250
107007,,,,0.0,0.0,0.0,,,,160887
100609,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,75580
34850,,,,0.0,0.0,0.0,,,,88729
117386,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,98754
82908,,,,0.0,0.0,0.0,,,,170901
103512,,,,0.0,0.0,0.0,,,,108087
78398,,,,0.0,0.0,0.0,,,,142036
132164,,,,0.0,0.0,0.0,,,,89677
30843,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,177158
66688,,,,0.0,0.0,0.0,,,,46050
96017,,,,0.0,0.0,0.0,,,,163331
76736,,,,0.0,0.0,0.0,,,,46898
62159,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,140436
61828,,,,0.0,0.0,0.0,,,,16292
40473,,,,0.0,0.0,0.0,,,,129409
156295,,,,0.0,0.0,0.0,,,,77561
39022,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,26755
73843,,,,0.0,0.0,0.0,,,,80847
62031,,,,0.0,0.0,0.0,,,,99829
102370,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,178862
903,,,,0.0,0.0,0.0,,,,132303
97776,,,,0.0,0.0,0.0,,,,62618
52105,,,,0.0,0.0,0.0,,,,85559
49263,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,155576
142180,,,,0.0,0.0,0.0,,,,23910
148211,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,89663
137561,,,,0.0,0.0,0.0,,,,83868
114235,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,175176
45883,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,32380
33597,,,,0.0,0.0,0.0,,,,13415
